Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"Colombia, Indice de Precios al Consumidor (IPC)",,,,,,,,,,,,,,,,,,,,,,,,
"Variaciones porcentuales
2003 - 2026",,,,,,,,,,,,,,,,,,,,,,,,
"AÑO 2026, MES 1",,,,,,,,,,,,,,,,,,,,,,,,"Base Diciembre de 2018 = 100,00"
Mes,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026
Enero,1.17,0.89,0.82,0.54,0.77,1.06,0.59,0.69,0.91,0.73,0.3,0.49,0.64,1.29,1.02,0.63,0.6,0.42,0.41,1.67,1.78,0.92,0.94,1.18
Febrero,1.11,1.2,1.02,0.66,1.17,1.51,0.84,0.83,0.6,0.61,0.44,0.63,1.15,1.28,1.01,0.71,0.57,0.67,0.64,1.63,1.66,1.09,1.14,
Marzo,1.05,0.98,0.77,0.7,1.21,0.81,0.5,0.25,0.27,0.12,0.21,0.39,0.59,0.94,0.47,0.24,0.43,0.57,0.51,1.0,1.05,0.7,0.52,
Abril,1.15,0.46,0.44,0.45,0.9,0.71,0.32,0.46,0.12,0.14,0.25,0.46,0.54,0.5,0.47,0.46,0.5,0.16,0.59,1.25,0.78,0.59,0.66,
Mayo,0.49,0.38,0.41,0.33,0.3,0.93,0.01,0.1,0.28,0.3,0.28,0.48,0.26,0.51,0.23,0.25,0.31,-0.32,1.0,0.84,0.43,0.43,0.32,
Junio,-0.05,0.6,0.4,0.3,0.12,0.86,-0.06,0.11,0.32,0.08,0.23,0.09,0.1,0.48,0.11,0.15,0.27,-0.38,-0.05,0.51,0.3,0.32,0.1,
Julio,-0.14,-0.03,0.05,0.41,0.17,0.48,-0.04,-0.04,0.14,-0.02,0.04,0.15,0.19,0.52,-0.05,-0.13,0.22,0.0,0.32,0.81,0.5,0.2,0.28,
Agosto,0.31,0.03,0.0,0.39,-0.13,0.19,0.04,0.11,-0.03,0.04,0.08,0.2,0.48,-0.32,0.14,0.12,0.09,-0.01,0.45,1.02,0.7,0.0,0.19,
Septiembre,0.22,0.3,0.43,0.29,0.08,-0.19,-0.11,-0.14,0.31,0.29,0.29,0.14,0.72,-0.05,0.04,0.16,0.23,0.32,0.38,0.93,0.54,0.24,0.32,
Octubre,0.06,-0.01,0.23,-0.14,0.01,0.35,-0.13,-0.09,0.19,0.16,-0.26,0.16,0.68,-0.06,0.02,0.12,0.16,-0.06,0.01,0.72,0.25,-0.13,0.18,
Noviembre,0.35,0.28,0.11,0.24,0.47,0.28,-0.07,0.19,0.14,-0.14,-0.22,0.13,0.6,0.11,0.18,0.12,0.1,-0.15,0.5,0.77,0.47,0.27,0.07,
Diciembre,0.61,0.3,0.07,0.23,0.49,0.44,0.08,0.65,0.42,0.09,0.26,0.27,0.62,0.42,0.38,0.3,0.26,0.38,0.73,1.26,0.45,0.46,0.27,
En año corrido,6.49,5.5,4.85,4.48,5.69,7.67,2.0,3.17,3.73,2.44,1.94,3.66,6.77,5.75,4.09,3.18,3.8,1.61,5.62,13.12,9.28,5.2,5.1,1.18
Fuente: DANE.,,,,,,,,,,,,,,,,,,,,,,,,
"Nota: La diferencia en la suma de las variables, obedece al sistema de aproximación y redondeo.",,,,,,,,,,,,,,,,,,,,,,,,
Actualizado el 6 de Febrero de 2026,,,,,,,,,,,,,,,,,,,,,,,,
